"key"	"dataValue"	"taxonId"	"origTaxonId"	"preferredQualifiedTaxonName"	"preferredTaxon"	"preferredTaxonQualifier"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Verbascum lychnitis L."	"scarce"	"2cd4p9h.cyf"	"2cd4p9h.cyf"	"Verbascum lychnitis L."	"Verbascum lychnitis"		"Verbascum lychnitis"				
"Veronica spicata subsp. hybrida (L.) Gaudin"	"rare"	"2cd4p9h.cyr"	"2cd4p9h.cyr"	"Veronica spicata subsp. hybrida (L.) Gaudin"	"Veronica spicata subsp. hybrida"		"Veronica spicata subsp. hybrida"				
"Trifolium occidentale Coombe"	"scarce"	"2cd4p9h.cpn"	"2cd4p9h.cpn"	"Trifolium occidentale Coombe"	"Trifolium occidentale"		"Trifolium occidentale"				
"Sorbus wilmottiana E.F.Warb."	"rare"	"2cd4p9h.cpq"	"2cd4p9h.cpq"	"Sorbus wilmottiana E.F.Warb."	"Sorbus wilmottiana"		"Sorbus wilmottiana"				
"Limonium dodartiforme Ingr."	"rare"	"2cd4p9h.csb"	"2cd4p9h.csb"	"Limonium dodartiforme Ingr."	"Limonium dodartiforme"		"Limonium dodartiforme"				
"Limonium procerum subsp. cambrense Ingr."	"rare"	"2cd4p9h.cse"	"2cd4p9h.cse"	"Limonium procerum subsp. cambrense Ingr."	"Limonium procerum subsp. cambrense"		"Limonium procerum subsp. cambrense"				
"Erophila majuscula Jord."	"scarce"	"2cd4p9h.dgm"	"2cd4p9h.dgm"	"Erophila majuscula Jord."	"Erophila majuscula"		"Erophila majuscula"				
"Crepis praemorsa (L.) F.Walther"	"rare"	"2cd4p9h.dwp"	"2cd4p9h.dwp"	"Crepis praemorsa (L.) F.Walther"	"Crepis praemorsa"		"Crepis praemorsa"				
"Carex depauperata Curtis ex With."	"rare"	"2cd4p9h.ehq"	"2cd4p9h.ehq"	"Carex depauperata Curtis ex With."	"Carex depauperata"		"Carex depauperata"				
"Limonium parvum Ingr."	"rare"	"2cd4p9h.enk"	"2cd4p9h.enk"	"Limonium parvum Ingr."	"Limonium parvum"		"Limonium parvum"				
"Scleranthus perennis L."	"rare"	"2cd4p9h.enq"	"2cd4p9h.enq"	"Scleranthus perennis L."	"Scleranthus perennis"		"Scleranthus perennis"				
"Saxifraga cespitosa L."	"rare"	"2cd4p9h.eq2"	"2cd4p9h.eq2"	"Saxifraga cespitosa L."	"Saxifraga cespitosa"		"Saxifraga cespitosa"				
"Alisma gramineum Lej."	"rare"	"2cd4p9h.eqe"	"2cd4p9h.eqe"	"Alisma gramineum Lej."	"Alisma gramineum"		"Alisma gramineum"				
"Limonium binervosum subsp. saxonicum Ingr."	"rare"	"2cd4p9h.eqn"	"2cd4p9h.eqn"	"Limonium binervosum subsp. saxonicum Ingr."	"Limonium binervosum subsp. saxonicum"		"Limonium binervosum subsp. saxonicum"				
"Euphrasia campbelliae Pugsley"	"rare"	"2cd4p9h.erm"	"2cd4p9h.erm"	"Euphrasia campbelliae Pugsley"	"Euphrasia campbelliae"		"Euphrasia campbelliae"				
"Ophioglossum azoricum C.Presl"	"scarce"	"2cd4p9h.es9"	"2cd4p9h.es9"	"Ophioglossum azoricum C.Presl"	"Ophioglossum azoricum"		"Ophioglossum azoricum"				
"Trichomanes speciosum Willd."	"scarce"	"2cd4p9h.esy"	"2cd4p9h.esy"	"Trichomanes speciosum Willd."	"Trichomanes speciosum"		"Trichomanes speciosum"				
"Woodsia ilvensis (L.) R.Br."	"rare"	"2cd4p9h.esz"	"2cd4p9h.esz"	"Woodsia ilvensis (L.) R.Br."	"Woodsia ilvensis"		"Woodsia ilvensis"				
"Alchemilla glaucescens Wallr."	"scarce"	"2cd4p9h.ez7"	"2cd4p9h.ez7"	"Alchemilla glaucescens Wallr."	"Alchemilla glaucescens"		"Alchemilla glaucescens"				
"Bupleurum baldense Turra"	"rare"	"2cd4p9h.f2p"	"2cd4p9h.f2p"	"Bupleurum baldense Turra"	"Bupleurum baldense"		"Bupleurum baldense"				
"Campanula patula L."	"scarce"	"2cd4p9h.f39"	"2cd4p9h.f39"	"Campanula patula L."	"Campanula patula"		"Campanula patula"				
"Carex elongata L."	"scarce"	"2cd4p9h.f3r"	"2cd4p9h.f3r"	"Carex elongata L."	"Carex elongata"		"Carex elongata"				
"Carex lachenalii Schkuhr"	"rare"	"2cd4p9h.f3z"	"2cd4p9h.f3z"	"Carex lachenalii Schkuhr"	"Carex lachenalii"		"Carex lachenalii"				
"Carex norvegica Retz."	"rare"	"2cd4p9h.f45"	"2cd4p9h.f45"	"Carex norvegica Retz."	"Carex norvegica"		"Carex norvegica"				
"Cicuta virosa L."	"scarce"	"2cd4p9h.f5m"	"2cd4p9h.f5m"	"Cicuta virosa L."	"Cicuta virosa"		"Cicuta virosa"				
"Damasonium alisma Mill."	"rare"	"2cd4p9h.f7e"	"2cd4p9h.f7e"	"Damasonium alisma Mill."	"Damasonium alisma"		"Damasonium alisma"				
"Dianthus gratianopolitanus Vill."	"rare"	"2cd4p9h.f7q"	"2cd4p9h.f7q"	"Dianthus gratianopolitanus Vill."	"Dianthus gratianopolitanus"		"Dianthus gratianopolitanus"				
"Draba aizoides L."	"rare"	"2cd4p9h.f7t"	"2cd4p9h.f7t"	"Draba aizoides L."	"Draba aizoides"		"Draba aizoides"				
"Epipogium aphyllum Sw."	"rare"	"2cd4p9h.f8m"	"2cd4p9h.f8m"	"Epipogium aphyllum Sw."	"Epipogium aphyllum"		"Epipogium aphyllum"				
"Euphrasia ostenfeldii (Pugsley) Yeo"	"scarce"	"2cd4p9h.f9x"	"2cd4p9h.f9x"	"Euphrasia ostenfeldii (Pugsley) Yeo"	"Euphrasia ostenfeldii"		"Euphrasia ostenfeldii"				
"Euphrasia heslop-harrisonii Pugsley"	"scarce"	"2cd4p9h.f9y"	"2cd4p9h.f9y"	"Euphrasia heslop-harrisonii Pugsley"	"Euphrasia heslop-harrisonii"		"Euphrasia heslop-harrisonii"				
"Galium constrictum Chaub."	"rare"	"2cd4p9h.fak"	"2cd4p9h.fak"	"Galium constrictum Chaub."	"Galium constrictum"		"Galium constrictum"				
"Gentiana pneumonanthe L."	"scarce"	"2cd4p9h.faq"	"2cd4p9h.faq"	"Gentiana pneumonanthe L."	"Gentiana pneumonanthe"		"Gentiana pneumonanthe"				
"Gentiana verna L."	"rare"	"2cd4p9h.fat"	"2cd4p9h.fat"	"Gentiana verna L."	"Gentiana verna"		"Gentiana verna"				
"Hordeum marinum Huds."	"scarce"	"2cd4p9h.fc6"	"2cd4p9h.fc6"	"Hordeum marinum Huds."	"Hordeum marinum"		"Hordeum marinum"				
"Hornungia petraea (L.) Rchb."	"scarce"	"2cd4p9h.fcx"	"2cd4p9h.fcx"	"Hornungia petraea (L.) Rchb."	"Hornungia petraea"		"Hornungia petraea"				
"Juncus acutus L."	"scarce"	"2cd4p9h.fd5"	"2cd4p9h.fd5"	"Juncus acutus L."	"Juncus acutus"		"Juncus acutus"				
"Juncus capitatus Weigel"	"rare"	"2cd4p9h.fdb"	"2cd4p9h.fdb"	"Juncus capitatus Weigel"	"Juncus capitatus"		"Juncus capitatus"				
"Juncus pygmaeus Rich. ex Thuill."	"rare"	"2cd4p9h.fde"	"2cd4p9h.fde"	"Juncus pygmaeus Rich. ex Thuill."	"Juncus pygmaeus"		"Juncus pygmaeus"				
"Lathyrus japonicus Willd."	"scarce"	"2cd4p9h.fdt"	"2cd4p9h.fdt"	"Lathyrus japonicus Willd."	"Lathyrus japonicus"		"Lathyrus japonicus"				
"Luronium natans (L.) Raf."	"scarce"	"2cd4p9h.fff"	"2cd4p9h.fff"	"Luronium natans (L.) Raf."	"Luronium natans"		"Luronium natans"				
"Medicago sativa subsp. falcata (L.) Arcang."	"scarce"	"2cd4p9h.fg2"	"2cd4p9h.fg2"	"Medicago sativa subsp. falcata (L.) Arcang."	"Medicago sativa subsp. falcata"		"Medicago sativa subsp. falcata"				
"Melampyrum cristatum L."	"scarce"	"2cd4p9h.fg8"	"2cd4p9h.fg8"	"Melampyrum cristatum L."	"Melampyrum cristatum"		"Melampyrum cristatum"				
"Orchis simia Lam."	"rare"	"2cd4p9h.fv0"	"2cd4p9h.fv0"	"Orchis simia Lam."	"Orchis simia"		"Orchis simia"				
"Ornithogalum pyrenaicum L."	"scarce"	"2cd4p9h.fv9"	"2cd4p9h.fv9"	"Ornithogalum pyrenaicum L."	"Ornithogalum pyrenaicum"		"Ornithogalum pyrenaicum"				
"Pinus sylvestris L."	"scarce"	"2cd4p9h.fwn"	"2cd4p9h.fwn"	"Pinus sylvestris L."	"Pinus sylvestris"		"Pinus sylvestris"				
"Poa flexuosa Sm."	"rare"	"2cd4p9h.fk1"	"2cd4p9h.fk1"	"Poa flexuosa Sm."	"Poa flexuosa"		"Poa flexuosa"				
"Polygala amarella Crantz"	"rare"	"2cd4p9h.fk7"	"2cd4p9h.fk7"	"Polygala amarella Crantz"	"Polygala amarella"		"Polygala amarella"				
"Polygonatum verticillatum (L.) All."	"rare"	"2cd4p9h.fkw"	"2cd4p9h.fkw"	"Polygonatum verticillatum (L.) All."	"Polygonatum verticillatum"		"Polygonatum verticillatum"				
"Persicaria mitis (Schrank) Assenov"	"scarce"	"2cd4p9h.fkp"	"2cd4p9h.fkp"	"Persicaria mitis (Schrank) Assenov"	"Persicaria mitis"		"Persicaria mitis"				
"Potamogeton rutilus Wolfg."	"rare"	"2cd4p9h.fxf"	"2cd4p9h.fxf"	"Potamogeton rutilus Wolfg."	"Potamogeton rutilus"		"Potamogeton rutilus"				
"Potentilla crantzii (Crantz) Beck ex Fritsch"	"scarce"	"2cd4p9h.fxv"	"2cd4p9h.fxv"	"Potentilla crantzii (Crantz) Beck ex Fritsch"	"Potentilla crantzii"		"Potentilla crantzii"				
"Pulicaria vulgaris Gaertn."	"rare"	"2cd4p9h.fxz"	"2cd4p9h.fxz"	"Pulicaria vulgaris Gaertn."	"Pulicaria vulgaris"		"Pulicaria vulgaris"				
"Ranunculus flammula subsp. minimus (A.Benn.) Padmore"	"rare"	"2cd4p9h.fmb"	"2cd4p9h.fmb"	"Ranunculus flammula subsp. minimus (A.Benn.) Padmore"	"Ranunculus flammula subsp. minimus"		"Ranunculus flammula subsp. minimus"				
"Sarcocornia perennis (Mill.) A.J.Scott"	"scarce"	"2cd4p9h.fyx"	"2cd4p9h.fyx"	"Sarcocornia perennis (Mill.) A.J.Scott"	"Sarcocornia perennis"		"Sarcocornia perennis"				
"Salix myrsinites L."	"scarce"	"2cd4p9h.fyy"	"2cd4p9h.fyy"	"Salix myrsinites L."	"Salix myrsinites"		"Salix myrsinites"				
"Trichophorum cespitosum (L.) Hartm. s.s."	"scarce"	"2cd4p9h.fpn"	"2cd4p9h.fpn"	"Trichophorum cespitosum (L.) Hartm. s.s."	"Trichophorum cespitosum"	"s.s."	"Trichophorum cespitosum"	"s.s."			
"Sibthorpia europaea L."	"scarce"	"2cd4p9h.fr0"	"2cd4p9h.fr0"	"Sibthorpia europaea L."	"Sibthorpia europaea"		"Sibthorpia europaea"				
"Silene nutans L."	"scarce"	"2cd4p9h.fr9"	"2cd4p9h.fr9"	"Silene nutans L."	"Silene nutans"		"Silene nutans"				
"Sonchus palustris L."	"scarce"	"2cd4p9h.fry"	"2cd4p9h.fry"	"Sonchus palustris L."	"Sonchus palustris"		"Sonchus palustris"				
"Teucrium chamaedrys L."	"rare"	"2cd4p9h.fsq"	"2cd4p9h.fsq"	"Teucrium chamaedrys L."	"Teucrium chamaedrys"		"Teucrium chamaedrys"				
"Tilia platyphyllos Scop."	"scarce"	"2cd4p9h.ft4"	"2cd4p9h.ft4"	"Tilia platyphyllos Scop."	"Tilia platyphyllos"		"Tilia platyphyllos"				
"Veronica fruticans Jacq."	"rare"	"2cd4p9h.fzx"	"2cd4p9h.fzx"	"Veronica fruticans Jacq."	"Veronica fruticans"		"Veronica fruticans"				
"Hydrilla verticillata (L.f.) Royle"	"rare"	"2cd4p9h.g11"	"2cd4p9h.g11"	"Hydrilla verticillata (L.f.) Royle"	"Hydrilla verticillata"		"Hydrilla verticillata"				
"Senecio cambrensis Rosser"	"rare"	"2cd4p9h.g14"	"2cd4p9h.g14"	"Senecio cambrensis Rosser"	"Senecio cambrensis"		"Senecio cambrensis"				
"Gaudinia fragilis (L.) P.Beauv."	"scarce"	"2cd4p9h.g44"	"2cd4p9h.g44"	"Gaudinia fragilis (L.) P.Beauv."	"Gaudinia fragilis"		"Gaudinia fragilis"				
"Limonium britannicum Ingr. subsp. britannicum"	"rare"	"2cd4p9h.g4a"	"2cd4p9h.g4a"	"Limonium britannicum Ingr. subsp. britannicum"	"Limonium britannicum subsp. britannicum"		"Limonium britannicum subsp. britannicum"				
"Pilosella flagellaris subsp. bicapitata P.D.Sell & C.West"	"rare"	"2cd4p9h.gb3"	"2cd4p9h.gb3"	"Pilosella flagellaris subsp. bicapitata P.D.Sell & C.West"	"Pilosella flagellaris subsp. bicapitata"		"Pilosella flagellaris subsp. bicapitata"				
"Vulpia ciliata Dumort."	"scarce"	"2cd4p9h.gsw"	"2cd4p9h.gsw"	"Vulpia ciliata Dumort."	"Vulpia ciliata"		"Vulpia ciliata"				
"Eriophorum gracile W.D.J.Koch ex Roth"	"rare"	"2cd4p9h.hxd"	"2cd4p9h.hxd"	"Eriophorum gracile W.D.J.Koch ex Roth"	"Eriophorum gracile"		"Eriophorum gracile"				
"Myosotis alpestris F.W.Schmidt"	"rare"	"2cd4p9h.ht8"	"2cd4p9h.ht8"	"Myosotis alpestris F.W.Schmidt"	"Myosotis alpestris"		"Myosotis alpestris"				
"Viola kitaibeliana Schult."	"rare"	"2cd4p9h.v2m"	"2cd4p9h.v2m"	"Viola kitaibeliana Schult."	"Viola kitaibeliana"		"Viola kitaibeliana"				
"Pilularia globulifera L."	"scarce"	"2cd4p9h.v4h"	"2cd4p9h.v4h"	"Pilularia globulifera L."	"Pilularia globulifera"		"Pilularia globulifera"				
"Adonis annua L."	"scarce"	"2cd4p9h.v5p"	"2cd4p9h.v5p"	"Adonis annua L."	"Adonis annua"		"Adonis annua"				
"Ajuga pyramidalis L."	"scarce"	"2cd4p9h.v69"	"2cd4p9h.v69"	"Ajuga pyramidalis L."	"Ajuga pyramidalis"		"Ajuga pyramidalis"				
"Alchemilla glomerulans Buser"	"scarce"	"2cd4p9h.v6c"	"2cd4p9h.v6c"	"Alchemilla glomerulans Buser"	"Alchemilla glomerulans"		"Alchemilla glomerulans"				
"Astragalus alpinus L."	"rare"	"2cd4p9h.v8g"	"2cd4p9h.v8g"	"Astragalus alpinus L."	"Astragalus alpinus"		"Astragalus alpinus"				
"Calamagrostis stricta (Timm) Koeler"	"rare"	"2cd4p9h.v9f"	"2cd4p9h.v9f"	"Calamagrostis stricta (Timm) Koeler"	"Calamagrostis stricta"		"Calamagrostis stricta"				
"Carex capillaris L."	"scarce"	"2cd4p9h.v9y"	"2cd4p9h.v9y"	"Carex capillaris L."	"Carex capillaris"		"Carex capillaris"				
"Carex digitata L."	"scarce"	"2cd4p9h.v9z"	"2cd4p9h.v9z"	"Carex digitata L."	"Carex digitata"		"Carex digitata"				
"Chenopodium vulvaria L."	"rare"	"2cd4p9h.vbm"	"2cd4p9h.vbm"	"Chenopodium vulvaria L."	"Chenopodium vulvaria"		"Chenopodium vulvaria"				
"Cicerbita alpina (L.) Wallr."	"rare"	"2cd4p9h.vbp"	"2cd4p9h.vbp"	"Cicerbita alpina (L.) Wallr."	"Cicerbita alpina"		"Cicerbita alpina"				
"Crassula aquatica (L.) Schönland"	"rare"	"2cd4p9h.vcv"	"2cd4p9h.vcv"	"Crassula aquatica (L.) Schönland"	"Crassula aquatica"		"Crassula aquatica"				
"Daphne mezereum L."	"scarce"	"2cd4p9h.vd2"	"2cd4p9h.vd2"	"Daphne mezereum L."	"Daphne mezereum"		"Daphne mezereum"				
"Dianthus armeria L."	"scarce"	"2cd4p9h.vdb"	"2cd4p9h.vdb"	"Dianthus armeria L."	"Dianthus armeria"		"Dianthus armeria"				
"Erica ciliaris L."	"rare"	"2cd4p9h.vf6"	"2cd4p9h.vf6"	"Erica ciliaris L."	"Erica ciliaris"		"Erica ciliaris"				
"Eriocaulon aquaticum (Hill) Druce"	"rare"	"2cd4p9h.vfc"	"2cd4p9h.vfc"	"Eriocaulon aquaticum (Hill) Druce"	"Eriocaulon aquaticum"		"Eriocaulon aquaticum"				
"Genista pilosa L."	"rare"	"2cd4p9h.vv0"	"2cd4p9h.vv0"	"Genista pilosa L."	"Genista pilosa"		"Genista pilosa"				
"Gentiana nivalis L."	"rare"	"2cd4p9h.vv3"	"2cd4p9h.vv3"	"Gentiana nivalis L."	"Gentiana nivalis"		"Gentiana nivalis"				
"Geranium purpureum Vill."	"scarce"	"2cd4p9h.vvx"	"2cd4p9h.vvx"	"Geranium purpureum Vill."	"Geranium purpureum"		"Geranium purpureum"				
"Atriplex pedunculata L."	"rare"	"2cd4p9h.vvz"	"2cd4p9h.vvz"	"Atriplex pedunculata L."	"Atriplex pedunculata"		"Atriplex pedunculata"				
"Lepidium latifolium L."	"scarce"	"2cd4p9h.vxf"	"2cd4p9h.vxf"	"Lepidium latifolium L."	"Lepidium latifolium"		"Lepidium latifolium"				
"Lythrum hyssopifolia L."	"scarce"	"2cd4p9h.vmk"	"2cd4p9h.vmk"	"Lythrum hyssopifolia L."	"Lythrum hyssopifolia"		"Lythrum hyssopifolia"				
"Marrubium vulgare L."	"scarce"	"2cd4p9h.vmq"	"2cd4p9h.vmq"	"Marrubium vulgare L."	"Marrubium vulgare"		"Marrubium vulgare"				
"Medicago polymorpha L."	"scarce"	"2cd4p9h.vmt"	"2cd4p9h.vmt"	"Medicago polymorpha L."	"Medicago polymorpha"		"Medicago polymorpha"				
"Myosotis stolonifera (DC.) J.Gay ex Leresche & Levier"	"scarce"	"2cd4p9h.vy6"	"2cd4p9h.vy6"	"Myosotis stolonifera (DC.) J.Gay ex Leresche & Levier"	"Myosotis stolonifera"		"Myosotis stolonifera"				
"Nymphoides peltata Kuntze"	"scarce"	"2cd4p9h.vp2"	"2cd4p9h.vp2"	"Nymphoides peltata Kuntze"	"Nymphoides peltata"		"Nymphoides peltata"				
"Odontites vernus subsp. litoralis (Fr.) Nyman"	"scarce"	"2cd4p9h.vp5"	"2cd4p9h.vp5"	"Odontites vernus subsp. litoralis (Fr.) Nyman"	"Odontites vernus subsp. litoralis"		"Odontites vernus subsp. litoralis"				
"Ononis reclinata L."	"rare"	"2cd4p9h.vp8"	"2cd4p9h.vp8"	"Ononis reclinata L."	"Ononis reclinata"		"Ononis reclinata"				
"Ophrys sphegodes Mill."	"scarce"	"2cd4p9h.vpe"	"2cd4p9h.vpe"	"Ophrys sphegodes Mill."	"Ophrys sphegodes"		"Ophrys sphegodes"				
"Rhynchospora fusca (L.) W.T.Aiton"	"scarce"	"2cd4p9h.vtm"	"2cd4p9h.vtm"	"Rhynchospora fusca (L.) W.T.Aiton"	"Rhynchospora fusca"		"Rhynchospora fusca"				
"Ribes spicatum E.Robson"	"scarce"	"2cd4p9h.vtp"	"2cd4p9h.vtp"	"Ribes spicatum E.Robson"	"Ribes spicatum"		"Ribes spicatum"				
"Rumex aquaticus L."	"rare"	"2cd4p9h.vzx"	"2cd4p9h.vzx"	"Rumex aquaticus L."	"Rumex aquaticus"		"Rumex aquaticus"				
"Salix lapponum L."	"scarce"	"2cd4p9h.w0b"	"2cd4p9h.w0b"	"Salix lapponum L."	"Salix lapponum"		"Salix lapponum"				
"Saxifraga hirculus L."	"rare"	"2cd4p9h.w14"	"2cd4p9h.w14"	"Saxifraga hirculus L."	"Saxifraga hirculus"		"Saxifraga hirculus"				
"Tephroseris integrifolia (L.) Holub subsp. integrifolia"	"scarce"	"2cd4p9h.w1p"	"2cd4p9h.w1p"	"Tephroseris integrifolia (L.) Holub subsp. integrifolia"	"Tephroseris integrifolia subsp. integrifolia"		"Tephroseris integrifolia subsp. integrifolia"				
"Stratiotes aloides L."	"scarce"	"2cd4p9h.w32"	"2cd4p9h.w32"	"Stratiotes aloides L."	"Stratiotes aloides"		"Stratiotes aloides"				
"Suaeda vera Forssk. ex J.F.Gmel."	"scarce"	"2cd4p9h.w38"	"2cd4p9h.w38"	"Suaeda vera Forssk. ex J.F.Gmel."	"Suaeda vera"		"Suaeda vera"				
"Trifolium squamosum L."	"scarce"	"2cd4p9h.w4g"	"2cd4p9h.w4g"	"Trifolium squamosum L."	"Trifolium squamosum"		"Trifolium squamosum"				
"Utricularia vulgaris L. s.s."	"scarce"	"2cd4p9h.w4s"	"2cd4p9h.w4s"	"Utricularia vulgaris L. s.s."	"Utricularia vulgaris"	"s.s."	"Utricularia vulgaris"	"s.s."			
"Valerianella eriocarpa Desv."	"rare"	"2cd4p9h.w53"	"2cd4p9h.w53"	"Valerianella eriocarpa Desv."	"Valerianella eriocarpa"		"Valerianella eriocarpa"				
"Valerianella rimosa Bastard"	"scarce"	"2cd4p9h.w56"	"2cd4p9h.w56"	"Valerianella rimosa Bastard"	"Valerianella rimosa"		"Valerianella rimosa"				
"Viola lactea Sm."	"scarce"	"2cd4p9h.w5f"	"2cd4p9h.w5f"	"Viola lactea Sm."	"Viola lactea"		"Viola lactea"				
"Callitriche palustris L."	"rare"	"2cd4p9h.w74"	"2cd4p9h.w74"	"Callitriche palustris L."	"Callitriche palustris"		"Callitriche palustris"				
"Limonium britannicum subsp. coombense Ingr."	"rare"	"2cd4p9h.wad"	"2cd4p9h.wad"	"Limonium britannicum subsp. coombense Ingr."	"Limonium britannicum subsp. coombense"		"Limonium britannicum subsp. coombense"				
"Limonium loganicum Ingr."	"rare"	"2cd4p9h.wag"	"2cd4p9h.wag"	"Limonium loganicum Ingr."	"Limonium loganicum"		"Limonium loganicum"				
"Utricularia ochroleuca R.W.Hartm."	"rare"	"2cd4p9h.wz5"	"2cd4p9h.wz5"	"Utricularia ochroleuca R.W.Hartm."	"Utricularia ochroleuca"		"Utricularia ochroleuca"				
"Pulmonaria obscura Dumort."	"rare"	"2cd4p9h.k73"	"2cd4p9h.k73"	"Pulmonaria obscura Dumort."	"Pulmonaria obscura"		"Pulmonaria obscura"				
"Allium ampeloprasum L."	"scarce"	"2cd4p9h.kxp"	"2cd4p9h.kxp"	"Allium ampeloprasum L."	"Allium ampeloprasum"		"Allium ampeloprasum"				
"Festuca longifolia Thuill."	"scarce"	"2cd4p9h.kp9"	"2cd4p9h.kp9"	"Festuca longifolia Thuill."	"Festuca longifolia"		"Festuca longifolia"				
