Transect number:,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Fragaria vesca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium album,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Galium verum,,4,,,,1,1,,2,,3,1,,2,1,4,2,,,4,1,,,,,,,1,4,,1,,4,1,2,,2,,5,4,3,,,4,4,,1,4,,4,,4,4,,4,1,,4,,,,,2,4,4,2,2,,,,,,4,,,4,4,4,,4,4,4,4,4,4,2,,2,,4,,4,2,3,,2,2,,,,,3,,1,,2,2,4,5,,1,,4,1,
Gentianella amarella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helianthemum nummularium,,,,,,,,3,1,4,1,,,,,4,,2,3,,2,,,,,,,,,,,,,,,,,,,4,4,4,3,4,,,,,,,,,,,,2,5,4,,4,5,3,4,2,4,3,4,1,2,4,,,2,5,,4,4,,,,4,5,4,4,4,2,4,4,1,,2,5,4,4,4,,4,,4,,1,4,4,4,,,,,,,,,,,
Hippocrepis comosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holcus lanatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homalothecium lutescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypericum perforatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus communis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koeleria macrantha,,,4,3,,,,1,,1,1,2,,4,,,2,,,,,2,,3,2,,2,,,2,,,,2,2,3,2,2,2,,2,,,2,2,,1,,,,1,1,4,,,,,,,,,4,4,2,,1,2,,,1,,4,2,,3,4,,,4,4,4,,4,2,2,2,,,,3,2,,4,,,,4,,,,,2,2,2,3,4,,,2,2,,,4,2,
Leontodon hispidus,,4,3,4,4,4,,4,4,,3,,,,3,4,,,,,,5,,1,,,,1,,4,,5,2,,2,,2,,,,,,4,4,,,,,3,,,,,2,,,4,4,4,,2,,3,,4,,4,5,4,4,4,,2,6,,,4,4,,,,,4,4,4,4,,,5,5,4,,,,,,,,,4,,,,2,4,,,3,4,,,,,4,
Leucanthemum vulgare,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linum catharticum,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,2,,4,,,,,,,,,,,,,,,,,
Litter,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium perenne,,,,4,1,,,,,4,4,,4,3,1,4,,4,,,,,,,,,,,,,,1,,2,,,,,1,4,,4,,2,,,,,,4,,,,,,2,2,,,,,5,,,,,1,2,2,,2,1,,5,5,4,,,,,,4,,,,,,,,,5,,4,1,5,5,,,,,,,,3,,4,4,,4,4,3,,,2,
Lotus corniculatus,4,,2,,2,2,2,,2,1,,1,,,,1,,,,,1,,4,,2,3,4,4,4,4,,1,1,2,1,,,3,,4,,2,,,,,2,,,,,,,,,,2,4,2,,,,2,4,4,2,4,1,2,4,,1,1,,,,5,4,4,4,,,,4,4,,,,1,4,,,,2,5,,4,,4,4,,,1,1,3,4,2,2,4,3,,,,2,4
Luzula campestris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago lupulina,,,,,,,4,,,,,,,,,,,,,,1,,4,2,4,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,2,,2,,,,2,,,,,5,4,,,,,,4,,,,,,,,,,,2,,4,4,4,,4,,,,,,1,4,1,,,,,,,
Onobrychis viciifolia,,,1,2,,,,1,2,2,1,2,,1,2,,3,,3,,2,2,4,,4,,4,,,,,,2,,,1,4,,4,,,,,,,,2,,4,,,,,,,2,4,,1,,,,4,,4,,,,,2,,,4,5,4,,,,,,,1,,,,,,,,,,,,2,4,5,,4,,,,,,,,,,,,,,,,,
Ononis repens,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,2,
Ononis spinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Pastinaca sativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phleum bertolonii,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,4,2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,
Picris hieracioides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilosella officinarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
Pimpinella saxifraga,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,
Plantago lanceolata,,2,1,3,,,2,2,,4,2,2,4,4,,2,5,2,2,4,2,4,2,2,4,,,4,,,,3,2,,1,,2,1,4,,4,4,,,,,,,,2,1,,4,,5,,4,4,4,4,4,2,4,2,4,2,4,,4,,4,3,,4,,4,,5,5,5,,5,5,,4,4,4,,2,4,4,2,2,,5,4,4,5,4,4,4,3,,4,2,3,2,,1,,,,,,3
Plantago media,,,1,,,,,4,,,,4,,,1,,,5,,,,,,5,,4,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,5,,,,4,,,,,,3,4,,2,,,,,,4,,,4,,,,,,,,,2,,,,,2,,,5,,,4,,,3,,,,3,,,,,,,,,,
Polygala calcarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygala vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poterium sanguisorba,4,5,4,5,5,6,5,4,4,4,4,4,5,5,1,4,4,2,3,4,4,5,4,4,4,5,4,,,,,4,,4,1,2,,5,,5,4,4,4,5,4,5,4,4,4,,4,4,,2,4,,2,5,4,5,5,5,4,4,5,2,5,3,4,6,5,5,2,5,,5,,4,5,4,4,4,4,4,,,4,5,4,4,4,5,4,5,5,6,7,5,5,5,4,4,4,4,4,3,4,5,3,5,4,5,2,5,3
Primula veris,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,5,,,,,,2,,,,,,,,,,4,4,,,,,,,,,,5,,,,,,2,,,,5,,,3,,,3,,,,,,,,,,,,2,5,,5,,,,,,,,,,,,,,,,,,,,4,,2,2,4,,,,
Prunella vulgaris,,,,,,,,,,,,,2,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,3,,,,,,,,,,,,,
Pseudoscleropodium purum,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Ranunculus bulbosus,1,,4,,1,,,,,,2,2,,,,2,,,,2,2,4,,,1,,,2,,,,2,,,,,,,,2,,,4,,1,,2,1,,,1,,1,,,,2,,2,2,,4,1,2,,,2,,2,,,2,2,,2,2,,,,2,,4,,,,,1,,,1,4,,2,,,,4,,,,1,,3,,,,1,2,1,,,,2,4,2
Rhytidiadelphus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosa canina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubus fructi agg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scabiosa columbaria,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,4,,,,,,3,,,,,,4,,,5,,,4,,,,,4,4,,,,,,5,2,,,4,,1,,1,,,,5,4,5,4,,,4,,,,,,,,3,,,,,,
Schedonorus pratensis,7,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,4,,4,,,,,,,,,,,,2,,,,,,,,,,,,2,,,4,,,,
Senecio jacobaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serratula tinctoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Succisa pratensis,5,5,5,5,5,4,5,6,5,4,2,5,5,4,5,4,3,3,,4,5,6,5,6,4,6,4,,,5,5,4,4,5,2,4,5,5,5,6,5,5,,5,5,,4,5,5,,,,5,7,5,4,5,7,5,5,6,4,5,5,4,5,5,,5,5,5,6,,4,4,4,5,6,7,5,4,5,5,2,,5,,6,5,5,4,5,,5,6,5,5,6,7,,4,5,5,5,4,5,5,5,5,5,5,6,5,5,5
Taraxacum agg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Taxus baccata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thymus polytrichus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,1,,1,,,,,,,,,,,,,2,,,
Trifolium pratense,,,1,,2,,2,,,,1,,,,,,3,,,,,,2,3,2,2,4,2,2,,,1,1,,,,,1,,,,,,,,,,,,,,,3,,,,,,4,4,,3,4,,2,,,,3,,,,,,4,4,5,4,4,,,4,4,,1,4,1,,,,,,,,4,,4,4,,,,,,,,,4,,,,4,3,2,2,2
Trifolium repens,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,4,,,,,,,,
Trisetum flavescens,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica chamaedrys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viburnum lantana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viola hirta,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
